,PC1,PC2,cluster,label,cluster_name
183,0.1620878790625552,-2.0971857832971814,4,resinous,Camphoraceous & Medicinal
184,4.171396120365524,-0.34418313638143216,3,rhubarb,Fruity & Floral
185,3.74271423313659,-1.1451786445573675,3,blueberry,Fruity & Floral
186,0.6533355331506654,-0.6228692072920731,4,cloth laundered cloth,Camphoraceous & Medicinal
187,-1.9591482609560968,2.301592937061892,9,brothy,Roasted & Sulfurous
188,2.116875725279601,-0.08193910026722946,8,greasy,Minty & Floral
189,2.1637720764738955,0.7745952614945565,0,currant bud black currant bud,Nutty & Dairy
190,-0.43960792716329417,-1.5732849199686898,4,ambrette,Camphoraceous & Medicinal
191,-0.7234109964493911,-1.474676964894123,4,spearmint,Camphoraceous & Medicinal
192,1.23711611986173,-1.4882653508678185,4,mossy,Camphoraceous & Medicinal
193,3.211415524695691,-0.6621954507241351,3,seedy,Fruity & Floral
194,1.0531608516326543,-1.218760357632469,4,lily of the valley,Camphoraceous & Medicinal
195,-4.7779709724003325,2.188503455352118,1,coffee roasted coffee,Savory & Meaty
196,-5.423457034873978,2.037185389510857,1,beefy,Savory & Meaty
197,4.229175469831021,1.2751358694850965,6,apple green apple,Fruity & Tropical
198,2.7191899502174732,0.1754782626924046,8,currant black currant,Minty & Floral
199,1.1123872767716436,1.0465827951512308,0,yeasty,Nutty & Dairy
200,1.8990529553469746,-1.5497478973965668,8,mimosa,Minty & Floral
201,1.9573531921657152,1.753124860954536,0,brandy,Nutty & Dairy
202,1.1581872151607662,-0.4349156335595171,8,mandarin,Minty & Floral
203,2.143690733663285,-0.9022100019726148,8,rose red rose,Minty & Floral
204,2.8768390490597846,0.43986458240790727,6,bitter,Fruity & Tropical
205,0.8806575087890534,1.7739046770910907,0,passion fruit,Nutty & Dairy
206,-4.629325626549168,1.4886374988593827,1,mustard,Savory & Meaty
207,-0.16483832937039128,-1.4859363736166151,4,eucalyptus,Camphoraceous & Medicinal
208,2.742370428205393,-0.632452067331599,8,petal,Minty & Floral
209,-0.06694536064787925,1.1526043454052342,5,dirty,Burnt & Earthy
210,1.9808502643791543,-0.4061974975576909,8,fennel,Minty & Floral
211,1.8897859603817095,1.1585790171999557,0,walnut,Nutty & Dairy
212,0.13952559012630703,-1.9631037903898176,4,thujonic,Camphoraceous & Medicinal
213,2.234087962551833,-0.9870244391370578,8,chamomile,Minty & Floral
214,2.1740054248504785,-0.5002800078463303,8,candy,Minty & Floral
215,-0.18439078552578891,1.4196472235784772,5,rancid,Burnt & Earthy
216,1.8050810851422645,0.586547122574709,0,buchu,Nutty & Dairy
217,-2.5314234231585937,2.114227530640483,9,corn,Roasted & Sulfurous
218,3.3244290762444972,-1.2596562323123894,3,petitgrain,Fruity & Floral
219,-1.487369970393293,-1.0218544807528038,2,flowery,Smoky & Woody
220,3.0029331225651408,-1.1261191874623664,8,cyclamen,Minty & Floral
221,-1.1628900250542713,-1.513663157404946,2,camphor,Smoky & Woody
222,-5.299730120144757,2.107392469578031,1,eggy,Savory & Meaty
223,2.1072386541917973,1.3099621063751872,0,mango,Nutty & Dairy
224,1.445414921109002,1.5921642853018105,0,beany,Nutty & Dairy
225,0.018328032129899526,-2.570616477742774,4,sage clary sage,Camphoraceous & Medicinal
226,-1.2347365711011302,-0.35835786531283387,2,faint,Smoky & Woody
227,-3.394675674502863,-0.11629696914665721,1,humus,Savory & Meaty
228,3.735867427847731,0.19737420507087594,3,chrysanthemum,Fruity & Floral
229,-2.241427019541228,-0.5152616562818684,2,bacon,Smoky & Woody
230,1.6152846078484322,-0.11087383928996636,8,sugar,Minty & Floral
231,2.1101946542046597,-1.9641824933169696,8,bois de rose,Minty & Floral
232,-4.259304540866914,1.9612386242867268,1,onion cooked onion,Savory & Meaty
233,-1.1748944018813572,2.006176101481652,5,gassy,Burnt & Earthy
234,2.0715914390355223,-0.7188483599146988,8,heliotrope,Minty & Floral
235,-2.995763295601022,-1.183244068303737,2,oakmoss,Smoky & Woody
236,3.017914882688516,1.0210641002477392,6,privet,Fruity & Tropical
237,0.7046974793113207,-1.9567948604728667,4,rosemary,Camphoraceous & Medicinal
238,-5.132404155022819,1.3381884777155661,1,corn chip,Savory & Meaty
239,1.5345678448880795,-1.013659448644802,8,tuberose,Minty & Floral
240,-2.352498203413889,-1.5626237811039583,2,peppermint,Smoky & Woody
241,-0.6930672689354189,1.1108784022579279,5,acetic,Burnt & Earthy
242,-3.3856543913373196,1.3051725283466642,9,peanut,Roasted & Sulfurous
243,-0.2874438776872496,1.4165862137908156,5,tallow,Burnt & Earthy
244,-1.6090066424757796,2.2198917462453682,9,fried,Roasted & Sulfurous
245,0.13745929357053116,-1.3133255004913187,4,caraway,Camphoraceous & Medicinal
246,2.333812890235963,-1.0318705261364483,8,peony,Minty & Floral
247,2.6160199550357404,1.6986328844708596,6,banana unripe banana,Fruity & Tropical
248,-1.1432468117948325,0.4659685718584358,5,malty,Burnt & Earthy
249,-4.326872099465764,1.4236263513161271,1,hazelnut roasted hazelnut,Savory & Meaty
250,0.14884516070935194,-1.6239463779797285,4,wintergreen,Camphoraceous & Medicinal
251,2.243048671283167,0.8585375311825326,0,nasturtium,Nutty & Dairy
252,1.5899781891962927,-0.08290544288934043,8,basil,Minty & Floral
253,-0.07457025636902531,-1.951964878059838,4,incense,Camphoraceous & Medicinal
254,-0.3407340701714057,1.1055306667043303,5,whiskey,Burnt & Earthy
255,2.418248803423766,1.7239173526615643,0,melon rind,Nutty & Dairy
256,0.11096286569453509,2.0936731618342685,5,raw,Burnt & Earthy
257,0.20309981478543152,-0.2623077875020136,5,tangerine,Burnt & Earthy
258,-4.192714693355884,-0.9868768928838372,7,fecal,Odorless & Sulfurous
259,2.3411701597401056,1.7420136690309445,0,kiwi,Nutty & Dairy
260,3.2409993354746125,1.590800413160662,6,apple skin,Fruity & Tropical
261,0.6036207489526721,1.9302212202887636,0,acrylate,Nutty & Dairy
262,-1.2453520160446694,-2.0147414191136543,2,labdanum,Smoky & Woody
